Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.9681553453379302,469.0551470518112,0.6020833333333333
1.0,0.6305116213742786,325.3327366113663,0.6971666666666667
2.0,0.5218161679128358,276.41708594560623,0.7275833333333334
3.0,0.47138163297538954,246.90770623087883,0.7590833333333333
4.0,0.44077005532276653,231.42395308613777,0.7725833333333333
5.0,0.42137542128503136,215.63978815078735,0.7930833333333334
6.0,0.40442046982595964,208.48500607907772,0.7980833333333334
7.0,0.3920375188274497,201.3111387193203,0.8063333333333333
8.0,0.38157257281926044,200.93692962825298,0.8039166666666666
9.0,0.3719045989287777,193.6645988970995,0.8123333333333334
10.0,0.3626264664717042,191.9408389031887,0.8108333333333333
11.0,0.3575643422996218,186.16011668741703,0.8206666666666667
12.0,0.3495396388489397,182.44021984934807,0.8240833333333333
13.0,0.3453270655027322,182.27868826687336,0.8229166666666666
14.0,0.34558115727993216,176.20204856991768,0.8300833333333333
15.0,0.337430662631881,177.95069436728954,0.8269166666666666
16.0,0.3316793399607909,172.13680316507816,0.835
17.0,0.32716495779423016,171.7816173285246,0.83425
18.0,0.3231024473912047,168.87943725287914,0.8379166666666666
19.0,0.3203196848879676,166.70070296525955,0.8394166666666667
