Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,2.2027790178542563,1212.3766622543335,0.5969551282051282
1.0,1.3586767519065568,965.5312519073486,0.645713141025641
2.0,1.1768091538547667,881.641385436058,0.675400641025641
3.0,1.0870819752059029,826.7382026314735,0.6971955128205128
4.0,1.0186474332502846,781.6185676753521,0.7143028846153846
5.0,0.9592335147772036,740.4870891273022,0.7298878205128205
6.0,0.9035438268175682,702.9415563046932,0.7434695512820513
7.0,0.8535266813477073,667.1331004202366,0.7555689102564103
8.0,0.8072247903577368,634.8049530088902,0.7668669871794872
9.0,0.7644482598976323,605.989952236414,0.7762419871794872
10.0,0.7266828956815193,579.4495186209679,0.7858974358974359
11.0,0.6927393194480643,556.7380451261997,0.7945112179487179
12.0,0.6615994440841361,535.5153397023678,0.8025240384615384
13.0,0.6337162991108226,516.7257141619921,0.8091746794871795
14.0,0.6088614831348484,500.9000592380762,0.8142628205128205
15.0,0.5873040646431682,485.75481125712395,0.818790064102564
16.0,0.5666727963508273,472.1839014440775,0.8236378205128205
17.0,0.5465961604374356,460.50280056893826,0.8272435897435897
18.0,0.5304290957086616,449.8821715861559,0.8307291666666666
19.0,0.515814166078552,440.0989338904619,0.8336538461538462
