Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,2.105317507348859,2010.513402223587,0.38517628205128207
1.0,1.5750651733574899,1586.6696912050247,0.46947115384615384
2.0,1.2987844240627402,1335.7209955453873,0.5336538461538461
3.0,1.153772661659032,1195.8735666275024,0.5697115384615384
4.0,1.070350990765417,1110.1773238182068,0.5939903846153847
5.0,1.0160498247329806,1047.2792825698853,0.6139423076923077
6.0,0.9768209521597717,1006.3461734056473,0.625761217948718
7.0,0.9456800595743879,972.7945863008499,0.635576923076923
8.0,0.9212476864729896,940.6267663240433,0.6489983974358975
9.0,0.8997542525044524,918.6484560370445,0.6553285256410256
10.0,0.8822295339622838,894.9329909682274,0.6649439102564103
11.0,0.8631802008164295,879.5496711730957,0.6688701923076923
12.0,0.8472568854616287,861.5058834552765,0.675400641025641
13.0,0.830989185457699,844.5234704613686,0.6814903846153846
14.0,0.8156587208574649,827.7431967258453,0.6875400641025641
15.0,0.8018857295335367,812.0751388669014,0.6941506410256411
16.0,0.787539248929828,798.7030777931213,0.7007211538461539
17.0,0.7729528397378216,783.6560988426208,0.7055288461538461
18.0,0.7590578856358792,769.4368066489697,0.7115785256410256
19.0,0.746495203020511,760.0105806291103,0.7155849358974359
