Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.163809099416124,431.59253829717636,0.7058333333333333
1.0,0.5562063278116904,274.2434631884098,0.7825833333333333
2.0,0.391275230739606,220.4243058860302,0.8049166666666666
3.0,0.3304469352222086,192.4414479881525,0.819
4.0,0.29818906867527195,175.67567755281925,0.8354166666666667
5.0,0.27803405620753907,162.86010190844536,0.8520833333333333
6.0,0.2615754652147969,154.36730654537678,0.8620833333333333
7.0,0.24955984442061105,148.87013775855303,0.8695833333333334
8.0,0.238439886946734,140.97308852523565,0.87775
9.0,0.23023282365365869,134.94730281829834,0.8856666666666667
10.0,0.22238521878967815,130.66386572271585,0.8883333333333333
11.0,0.21294403749228408,125.90613594651222,0.8933333333333333
12.0,0.20636945565516637,120.18232944607735,0.9001666666666667
13.0,0.19897391949678192,117.00987307727337,0.9030833333333333
14.0,0.19128344454005197,113.98702915757895,0.9055
15.0,0.1852300266042968,111.43590195477009,0.9084166666666667
16.0,0.18024007489979266,106.68841774016619,0.9125833333333333
17.0,0.17368692024924381,104.75959807634354,0.9148333333333334
18.0,0.1693862464087442,102.25207873806357,0.91725
19.0,0.16323159466947804,98.69214276596904,0.9206666666666666
