Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.0733492023190399,555.8770539164543,0.6465833333333333
1.0,0.5587656894865841,447.22809582948685,0.7146666666666667
2.0,0.41320381097437014,428.62792804837227,0.7311666666666666
3.0,0.36673657075010024,416.5622178018093,0.7389166666666667
4.0,0.33962071750267014,397.4011320769787,0.7435833333333334
5.0,0.3204991586388939,376.5227020084858,0.7464166666666666
6.0,0.30606265959501594,360.1767011284828,0.7495
7.0,0.2910412567902524,340.73462015390396,0.7523333333333333
8.0,0.2793251217392862,318.04744428396225,0.7573333333333333
9.0,0.26474673533929066,309.30183106660843,0.7596666666666667
10.0,0.25724214420108477,296.64870442450047,0.7629166666666667
11.0,0.24597665592659762,285.6705564856529,0.7680833333333333
12.0,0.23823632396339156,275.4254970252514,0.77225
13.0,0.23055907206611778,267.7285983264446,0.77425
14.0,0.2221448015655197,256.65971790254116,0.77875
15.0,0.21425785061327976,254.45380130410194,0.7800833333333334
16.0,0.2088299515448236,242.58276836574078,0.78575
17.0,0.20232774915088558,241.82449567317963,0.7875833333333333
18.0,0.1983609617918111,239.9660259783268,0.7894166666666667
19.0,0.19600279361951248,230.15827918052673,0.7936666666666666
