Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.8543778383902737,708.8580949306488,0.37866666666666665
1.0,0.6093034733511403,599.2958499193192,0.44908333333333333
2.0,0.5044608470791447,527.3680493831635,0.49025
3.0,0.4461509111139586,477.8578418493271,0.52875
4.0,0.40760904392566744,440.1597121953964,0.5644166666666667
5.0,0.3791161389467741,412.67297822237015,0.5850833333333333
6.0,0.35812584808438375,391.7057538628578,0.6025833333333334
7.0,0.3456241334404793,379.67908346652985,0.6070833333333333
8.0,0.3338481574540204,370.2609108686447,0.6109166666666667
9.0,0.32398901121954926,355.56161081790924,0.6259166666666667
10.0,0.3133243671285219,348.3567115664482,0.6311666666666667
11.0,0.30820314450865527,340.67219203710556,0.6381666666666667
12.0,0.3021784910165334,331.17884504795074,0.6516666666666666
13.0,0.29896569120400546,327.71723279356956,0.6518333333333334
14.0,0.2942011528083457,321.4533600509167,0.6579166666666667
15.0,0.2916403160518365,314.24954187870026,0.6705833333333333
16.0,0.28625403646712744,313.52467381954193,0.6635
17.0,0.28204783099427305,306.29884523153305,0.6779166666666666
18.0,0.27905525978288764,304.65444308519363,0.6783333333333333
19.0,0.27809827484455946,300.95248451828957,0.6823333333333333
