Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.7848478590973917,2239.6681575775146,0.22696314102564102
1.0,0.596681467164907,1950.8459944725037,0.3217948717948718
2.0,0.5183238154701187,1750.0455716848373,0.3796875
3.0,0.4713981533131605,1613.8695081472397,0.4092147435897436
4.0,0.4366288492549951,1517.5429565906525,0.42948717948717946
5.0,0.41395618167178944,1448.7546492815018,0.44727564102564105
6.0,0.39479109495960296,1398.995431303978,0.45857371794871793
7.0,0.3777577200296415,1365.1795507669449,0.4673878205128205
8.0,0.36525920979906756,1335.5951478481293,0.4750801282051282
9.0,0.35449251688039707,1303.7386850118637,0.4893429487179487
10.0,0.3447332789194836,1278.0124802589417,0.49779647435897434
11.0,0.3345368990366208,1253.8124136924744,0.5060496794871795
12.0,0.3275526215525985,1231.1297717094421,0.5157051282051283
13.0,0.31838924147012876,1212.1450261473656,0.5219951923076923
14.0,0.31094936766616926,1194.909465432167,0.5279246794871795
15.0,0.3039721332436785,1175.9474928975105,0.5347355769230769
16.0,0.29717516407061473,1160.031683921814,0.5403445512820513
17.0,0.28996855976928665,1144.3632756471634,0.5466346153846153
18.0,0.284780228823683,1126.9229494929314,0.5525641025641026
19.0,0.2785920438230619,1109.2889462709427,0.5586939102564102
