Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.267680986135928,2322.598030567169,0.2374599358974359
1.0,0.9844493771697347,2085.5101630687714,0.4205528846153846
2.0,0.8546685693822021,1892.1473062038422,0.49399038461538464
3.0,0.7698756309800531,1740.0019470453262,0.5153044871794872
4.0,0.7081246153042876,1620.3416105508804,0.527724358974359
5.0,0.663095600553637,1528.2807945013046,0.536298076923077
6.0,0.6288319849950943,1455.0924574136734,0.5444310897435898
7.0,0.6004281100000481,1398.4809235334396,0.549599358974359
8.0,0.5781201802346589,1353.1263406276703,0.5550881410256411
9.0,0.5614056035820322,1316.771475315094,0.558974358974359
10.0,0.5461556445342507,1285.3082158565521,0.5634214743589744
11.0,0.5333206179449279,1260.3399732112885,0.5675080128205128
12.0,0.5227859002160998,1239.3217860460281,0.5697115384615384
13.0,0.512635737093041,1221.5143818855286,0.5712740384615385
14.0,0.5028747534275795,1206.7110376358032,0.573036858974359
15.0,0.4954237593620704,1193.1905514001846,0.5764823717948718
16.0,0.4896500607646243,1181.7999151945114,0.5783253205128205
17.0,0.4833432290839458,1170.9690237045288,0.5802083333333333
18.0,0.47698386588573016,1160.8110910654068,0.5809294871794872
19.0,0.4722543214427038,1153.234118461609,0.5820512820512821
