Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.3992970342050464,493.15336549282074,0.719
1.0,0.7711725175643614,305.908960044384,0.8075833333333333
2.0,0.542991173067458,231.13228809833527,0.85025
3.0,0.4475347826094211,194.69091834127903,0.8691666666666666
4.0,0.39737521606253906,175.27026641368866,0.8774166666666666
5.0,0.3661807611172124,161.0892457216978,0.8856666666666667
6.0,0.3450642687392331,152.00709096342325,0.891
7.0,0.32944202906267267,145.24963247030973,0.8946666666666667
8.0,0.3172394578814748,140.25141241401434,0.8978333333333334
9.0,0.3080722638158523,135.13426626473665,0.9010833333333333
10.0,0.300070624934536,131.612697891891,0.90375
11.0,0.2931998953216225,127.79529316723347,0.9069166666666667
12.0,0.2851531844303944,125.92405518144369,0.9079166666666667
13.0,0.277920903169418,122.96575997024775,0.9098333333333334
14.0,0.27275303013631613,120.77150516211987,0.9111666666666667
15.0,0.2681082368935879,117.88563347607851,0.9119166666666667
16.0,0.2624293638553532,116.30916284769773,0.9131666666666667
17.0,0.25778524269407826,113.95591004192829,0.9144166666666667
18.0,0.252799874926863,112.00044828653336,0.9155833333333333
19.0,0.2498252963869943,110.39886674657464,0.91725
