Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.511442680121847,1832.2170032262802,0.37888621794871796
1.0,1.068858554576112,1470.9530928134918,0.49330929487179487
2.0,0.8953726104188291,1338.8396692276,0.5453926282051282
3.0,0.8183168403844034,1248.771148443222,0.5784855769230769
4.0,0.7720530555543115,1176.5504970550537,0.6002403846153846
5.0,0.7320473382766712,1112.3044692277908,0.6154246794871795
6.0,0.6929634754262491,1058.5683208703995,0.6323717948717948
7.0,0.660613904486728,1013.9209508895874,0.6459935897435898
8.0,0.6289837276762656,966.8441987037659,0.6618589743589743
9.0,0.6000579668257501,935.9345862269402,0.6700721153846154
10.0,0.5742903022749001,900.9617715775967,0.6802083333333333
11.0,0.5475677630525065,870.5819239020348,0.6922676282051282
12.0,0.5283960523091202,843.3132522702217,0.7010817307692307
13.0,0.5057065902804462,819.6296965181828,0.7087740384615384
14.0,0.48795037612482905,792.8273001015186,0.7165064102564103
15.0,0.4708492031411046,776.6653609871864,0.7213141025641026
16.0,0.45894300787469416,755.8565878272057,0.7256009615384615
17.0,0.4415808616119773,739.7486665248871,0.7296073717948718
18.0,0.4303174667899053,721.5139175653458,0.7367387820512821
19.0,0.42017564223126336,706.9775606095791,0.7400641025641026
