Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.9358427485058172,672.6612136363983,0.31216666666666665
1.0,0.6505038050316417,599.2579082250595,0.49483333333333335
2.0,0.5536467721143272,511.84621316194534,0.5790833333333333
3.0,0.5044743752280629,468.11980974674225,0.6103333333333333
4.0,0.4807253393305343,433.4269834160805,0.6265833333333334
5.0,0.46011209514185386,400.2627791762352,0.6435833333333333
6.0,0.43947354583362186,369.22142761945724,0.6579166666666667
7.0,0.4267768605332545,354.0667259693146,0.6638333333333334
8.0,0.4145335394908731,336.5270001590252,0.6728333333333333
9.0,0.404574263936098,324.79880478978157,0.68075
10.0,0.39642106910402525,316.93546482920647,0.6866666666666666
11.0,0.39013422723602487,306.971991956234,0.69425
12.0,0.38282633546264555,295.5324850976467,0.703
13.0,0.38107058705455166,292.54393580555916,0.7046666666666667
14.0,0.37394427677659486,281.17909875512123,0.71075
15.0,0.3653093822557357,280.32147601246834,0.7156666666666667
16.0,0.35982682609776473,283.85682329535484,0.7119166666666666
17.0,0.35881274969873617,277.1099201440811,0.7153333333333334
18.0,0.35523782762301787,269.29479628801346,0.7234166666666667
19.0,0.3500108336093918,272.0856843292713,0.7189166666666666
