Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.3649632835568237,271.73446160554886,0.8415
1.0,0.5506617186130801,167.7049322128296,0.88275
2.0,0.40294151127509154,139.98176719993353,0.899
3.0,0.35023430653537313,126.61915970593691,0.9075
4.0,0.3189697047579102,118.36309297382832,0.91275
5.0,0.29624267254110115,112.22005556896329,0.9155
6.0,0.2813886215197078,107.45074284262955,0.9195
7.0,0.26563613106810957,103.53040388226509,0.9225833333333333
8.0,0.2534958044869515,99.91455011256039,0.9248333333333333
9.0,0.24187228634844843,96.85507927648723,0.926
10.0,0.23121947268173484,94.00913102179766,0.9286666666666666
11.0,0.22344102666173907,91.54972924478352,0.9315833333333333
12.0,0.21556249879821554,89.222590547055,0.933
13.0,0.20813103031095426,86.82770647387952,0.93575
14.0,0.20058328627414693,84.82784641161561,0.9365
15.0,0.1933920332082004,82.91903501842171,0.93825
16.0,0.18789332317725832,81.03660716488957,0.9395833333333333
17.0,0.18138917162086968,79.39076248649508,0.9415
18.0,0.175868798512655,77.81832564342767,0.9424166666666667
19.0,0.1707382797405201,76.3535009836778,0.9423333333333334
