Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,1.5397327423937224,1888.7039649486542,0.3735576923076923
1.0,1.0858972599560384,1684.561108469963,0.454286858974359
2.0,0.9317128999012338,1578.662406384945,0.49763621794871793
3.0,0.8607942417392713,1480.8011434674263,0.5319310897435897
4.0,0.8138283800201361,1401.0909304618835,0.5540064102564103
5.0,0.7743526180113804,1329.6893125772476,0.5756810897435898
6.0,0.7360044747570904,1269.340988099575,0.5921875
7.0,0.7021927458628515,1208.2932388782501,0.6106570512820513
8.0,0.6668987021533956,1156.5619640946388,0.6264423076923077
9.0,0.6366992544921201,1113.4057839512825,0.6401842948717948
10.0,0.6052480760606899,1078.9695956408978,0.6500801282051282
11.0,0.5802064857966426,1038.229784399271,0.6613782051282051
12.0,0.5529191422264255,1005.2006751000881,0.6707932692307692
13.0,0.5320596433839221,977.4717166125774,0.6775240384615384
14.0,0.5139717363280749,945.2295354902744,0.6860977564102564
15.0,0.49436612048318834,921.8881865739822,0.6916666666666667
16.0,0.47841782568288366,896.5076222121716,0.6981570512820513
17.0,0.46269134980811377,875.9224187731743,0.7041266025641025
18.0,0.44901793541318236,858.2578843832016,0.7087339743589743
19.0,0.43771283324318033,841.0714763402939,0.7125801282051282
